-4,-8,-14,1,7,-9,-5,2,6,15,17,-13,12,3,-10,18,-11,-16
15,-4,-12,2,-14,10,-13,-16,11,-6,-9,3,7,5,-1,8,-18,17
8,-12,17,14,9,11,-13,-1,-5,18,-6,2,7,-4,16,-15,-3,-10
-3,15,1,10,6,-5,12,14,-18,-4,16,-7,-17,-8,-2,-11,13,9
15,-4,-8,2,-7,-16,5,3,-14,11,-10,18,-17,9,-1,6,13,-12
-17,-10,-18,9,-14,15,-8,7,-4,2,13,-16,-11,5,-6,12,1,3
-18,14,-15,8,7,17,-5,-4,-12,-13,-16,9,10,-2,3,11,-6,1
4,17,-11,-1,14,-8,10,6,13,-7,3,-15,-9,-5,12,-18,-2,16
12,-6,14,16,-13,2,-10,17,15,7,-18,-1,5,-3,-9,-4,-8,11
18,5,8,14,-2,17,-15,-3,13,-11,10,-16,-9,-4,7,12,-6,-1
6,14,16,12,-9,-1,-15,-13,5,18,-17,-4,8,-2,7,-3,11,-10
-13,5,10,-16,-2,-18,-17,-15,-12,-3,-14,9,1,11,8,4,7,6
15,-4,12,2,-7,-17,5,16,-11,14,9,-3,-18,-10,-1,-8,6,13
-6,-14,-17,-5,4,1,-12,-13,-10,9,16,7,8,2,18,-11,3,-15
13,-9,-8,-18,16,-12,14,3,2,-17,-15,6,-1,-7,11,-5,10,4
-2,1,7,-11,-6,5,-3,10,17,-8,4,-13,12,18,-16,15,-9,-14
-14,-12,-5,11,3,15,-13,16,18,17,-4,2,7,1,-6,-8,-10,-9
-10,5,16,13,-2,15,18,9,-8,1,17,14,-4,-12,-6,-3,-11,-7
-17,6,-8,-13,-15,-2,-18,3,14,-12,16,10,4,-9,5,-11,1,7
-7,-15,-17,-9,16,-10,1,-13,4,6,12,-11,8,-18,2,-5,3,14
13,-18,-9,14,6,-5,-8,7,3,-15,-17,-16,-1,-4,10,12,11,2
7,-3,2,-18,16,9,-1,10,-6,-8,-14,-13,12,11,17,-5,-15,4
-16,15,17,14,7,-9,-5,18,6,-13,12,-11,10,-4,-2,1,-3,-8
-10,4,5,-2,-3,-16,15,9,-8,1,-17,-13,12,18,-7,6,11,-14
3,-4,-1,2,-15,17,-12,-18,13,-14,-16,7,-9,10,5,11,-6,8
18,5,-15,-9,-2,16,-8,7,4,-17,13,-14,-11,12,3,-6,10,-1
-17,15,9,-6,13,4,-11,-12,-3,-16,7,8,-5,-18,-2,10,1,14
-8,-5,14,-16,2,-9,-15,1,6,-13,-17,-18,10,-3,7,4,11,12
-7,-14,4,-3,-8,-16,1,5,-12,11,-10,9,18,2,17,6,-15,-13
5,-17,13,-7,-1,9,4,-15,-6,-16,18,-14,-3,12,8,10,2,-11
15,16,8,-7,-13,18,4,-3,-14,17,-12,11,5,9,-1,-2,-10,-6
16,-11,18,6,-15,-4,14,10,17,-8,2,13,-12,-7,5,-1,-9,-3
-12,6,-8,14,-15,-2,11,3,18,16,-7,1,-17,-4,5,-10,13,-9
10,-16,8,-9,-14,-13,-18,-3,4,-1,-12,11,6,5,17,2,-15,7
