-22,-55,-39,-47,59,27,-54,38,-34,-37,-52,-60,-53,19,35,30,36,41,-14,-51,43,1,-42,-45,49,-29,-6,32,26,-16,-40,-28,-58,9,-15,-17,10,-8,3,31,-18,23,-21,-56,24,50,4,57,-25,-46,20,11,13,7,2,44,-48,33,-5,12
20,-48,25,14,-17,-43,10,40,56,-7,-12,11,21,-4,-41,-57,5,49,-58,-1,-13,-29,47,34,-3,-27,26,-37,22,-60,-33,51,31,-24,-59,-45,28,46,-42,-8,15,39,6,50,36,-38,-23,2,-18,-44,-32,-53,52,-55,54,-9,16,19,35,30
36,50,51,35,27,55,21,46,-18,14,42,30,15,-10,-13,41,-54,9,-60,-53,-7,-59,-37,-38,-45,43,-5,47,-34,-12,40,33,-32,29,-4,-1,23,24,-49,-31,-16,-11,-26,58,25,-8,-28,-52,39,-2,-3,48,20,17,-6,57,-56,-44,22,19
-34,3,-2,17,-23,26,-22,-10,-43,8,19,-49,42,30,-28,51,-4,-60,-11,-44,-24,7,5,21,-41,-6,46,15,35,-14,38,52,55,1,-29,57,-47,-31,48,-53,25,-13,9,20,-50,-27,37,-39,12,45,-16,-32,40,56,-33,-54,-36,59,-58,18
-22,46,-4,3,19,20,-13,60,-23,-15,53,58,7,-43,10,26,-18,17,-5,-6,30,1,9,-29,-41,-16,28,-27,24,-21,-39,-47,-35,-42,33,54,49,-50,31,-55,25,34,14,48,51,-2,32,-44,-37,38,-45,57,-11,-36,40,59,-52,-12,-56,-8
-25,10,34,53,43,13,31,33,11,-2,-9,-39,-6,-19,-16,15,52,48,14,-28,22,-21,-55,46,1,50,-44,20,-41,-42,-7,59,-8,-3,38,56,47,-35,12,-58,29,30,-5,27,49,-24,-37,-18,-45,-26,57,-17,-4,60,23,-36,-51,40,-32,-54
-47,-25,-58,-46,-28,-53,37,40,57,-33,-18,52,20,-29,-45,51,-56,11,55,-13,36,-59,42,-48,2,41,35,5,14,34,60,49,10,-30,-27,-21,-7,39,-38,-8,-26,-23,44,-43,15,4,1,24,-32,54,-16,-12,6,-50,-19,17,-9,3,22,-31
-17,45,18,-10,30,44,25,-32,-57,4,42,15,-52,38,-12,24,1,-3,-53,-37,43,26,40,-16,-7,-22,56,-58,34,-5,-54,8,55,-29,59,-39,20,-14,36,-23,-47,-11,-21,-6,-2,-51,41,-60,50,-49,46,13,19,31,-33,-27,9,28,-35,48
-20,29,-12,-32,30,-23,-52,49,33,-54,-50,3,-60,-15,14,24,25,45,58,1,-44,36,6,-16,-17,42,-41,-46,-2,-5,47,4,-9,37,43,-22,-34,39,-38,-55,27,-26,-35,21,-18,28,-31,-53,-8,11,59,7,48,10,40,57,-56,-19,-51,13
22,-56,55,15,41,-25,-30,-11,52,21,8,-35,50,-42,-4,18,-38,-16,32,53,-10,-1,54,-46,6,29,31,-49,-26,7,-27,-19,-47,45,12,-58,-39,17,37,-51,-5,14,59,48,-34,24,33,-44,28,-13,40,-9,-20,-23,-3,2,-60,36,-43,57
-51,-24,-39,-45,-36,-49,-16,-12,22,-43,-54,8,37,-29,21,7,57,40,46,-27,-15,-9,33,2,28,-47,20,-25,14,42,-56,35,-23,52,-32,5,-13,53,3,-18,-55,-30,10,50,4,-19,26,-60,6,-44,1,-34,-38,11,41,31,-17,-59,58,48
33,48,-22,-9,41,32,20,-25,4,40,-12,11,34,-52,-50,23,-19,-46,17,-7,54,3,-16,47,8,-28,38,26,-59,35,53,-6,-1,-13,-30,58,-55,-27,-44,-10,-5,-51,57,39,60,18,-24,-2,56,15,42,14,-31,-21,37,-49,-43,-36,29,-45
30,32,-43,16,9,-15,23,28,-5,-59,39,26,-41,24,6,-4,-53,57,56,-60,54,-51,-7,-14,-35,-12,-46,-8,49,-1,58,-2,50,-38,25,-42,52,34,-11,-47,13,36,3,55,48,27,40,-45,-29,-33,22,-37,17,-21,-44,-19,-18,-31,10,20
-49,25,-21,39,-53,-15,-44,-33,29,-24,-31,19,-16,-30,6,13,-27,47,-12,-38,3,-23,22,10,-2,-51,17,-32,-9,14,11,28,8,56,-54,45,-41,20,-4,-43,37,-58,40,7,-36,57,-18,52,1,59,26,-48,5,35,60,-34,-46,42,-50,-55
-41,31,-5,-40,3,24,59,-42,-43,-55,-46,-21,-60,-54,-39,25,49,52,-20,19,12,-29,-56,-6,-16,-47,-53,30,22,-28,-2,51,-37,44,-58,-38,33,36,15,4,1,8,9,-34,50,11,26,-57,-17,-45,-32,-18,27,14,10,23,48,35,-7,13
49,-16,-47,12,55,-39,56,50,-23,60,-40,-4,-52,-41,38,2,-28,30,-37,-29,-36,45,9,-48,44,-54,42,17,20,-18,-51,-35,-57,43,32,21,19,-15,6,11,14,-27,-34,-25,-22,59,3,24,-1,-8,31,13,-58,26,-5,-7,33,53,-46,-10
6,34,56,-54,39,-1,-44,13,49,-46,-36,33,-8,51,-25,-60,-18,17,-37,-41,-35,26,45,-30,15,-22,-59,-52,-40,24,-43,-50,-12,-2,21,11,19,48,-5,29,20,58,31,7,-23,10,55,-38,-9,32,-14,28,-57,4,-47,-3,53,-42,27,16
-7,4,23,-2,9,15,1,29,-5,-43,-59,-28,-51,-31,-6,-27,44,-50,25,35,36,52,-3,-53,-19,-47,16,12,-8,-56,14,-45,57,-38,-20,-21,46,34,55,42,60,-40,10,-17,32,-37,26,54,58,18,13,-22,24,-48,-39,30,-33,-49,11,-41
41,24,-42,-23,12,48,58,59,-14,13,-52,-5,-10,9,-44,-17,16,-53,-32,-45,-29,-47,4,-2,-57,60,-49,30,21,-28,56,19,37,40,36,-35,-33,39,-38,-34,-1,3,-50,15,20,54,22,-6,27,43,-55,11,18,-46,51,-31,25,-7,-8,-26
47,4,-40,-2,-11,44,24,10,23,-8,5,-59,60,-43,17,-35,-15,58,-55,-30,-49,37,-9,-7,51,-31,-52,34,50,20,26,45,-57,-28,16,-42,-22,-56,48,3,-46,36,14,-6,-32,41,-1,-39,21,-29,-25,27,-54,53,19,38,33,-18,12,-13
56,-43,-11,46,-9,26,-28,-52,5,41,3,-38,-20,34,-33,19,50,45,-16,13,-54,-55,-57,-31,-47,-6,60,7,42,51,24,-59,15,-14,-39,49,53,12,35,44,-10,-29,2,-40,-18,-4,25,-58,-36,-17,-30,8,-37,21,22,-1,23,48,32,-27
-15,24,47,-26,25,-38,43,54,42,17,39,-37,-49,-29,1,31,-10,28,-21,40,19,52,59,-2,-5,4,53,-18,14,-36,-16,51,-45,46,-57,30,12,6,-11,-20,-55,-9,-7,-48,33,-34,-3,44,13,56,-32,-22,-27,-8,41,-50,35,-60,-23,58
18,26,-24,41,-6,5,19,-13,-36,31,-39,-32,8,-20,17,50,-15,-1,-7,14,-48,60,-37,3,-51,-2,29,-44,-27,34,-10,12,-35,-30,33,9,23,53,11,56,-4,-59,47,28,46,-45,-43,21,54,-16,25,58,-38,-49,57,-40,-55,-52,42,-22
-32,-43,11,20,-52,22,-17,46,50,49,-3,29,-34,37,-47,-40,7,-58,-54,-4,45,-6,-56,60,-51,-30,41,36,-12,26,-55,1,-57,13,-44,-28,-14,-59,-48,16,-27,-53,2,35,-21,-8,15,39,-10,-9,25,5,42,19,31,23,33,18,38,-24
-46,-36,47,-50,-18,48,20,30,22,28,-15,-32,44,-49,11,-59,31,5,-43,-7,33,-9,-37,51,55,53,-40,-10,-57,-8,-17,12,-21,-56,58,2,23,52,-54,27,42,-41,19,-13,60,1,-3,-6,14,4,-24,-38,-26,39,-25,34,29,-35,16,-45
-32,59,-12,10,28,-18,-9,-43,7,-4,-51,3,-31,53,39,-57,-38,6,36,50,-23,40,21,37,-26,25,55,-5,58,-60,13,1,-48,45,56,-19,-24,17,-15,-22,46,47,8,54,-34,-41,-42,33,52,-20,11,-49,-14,-44,-27,-35,16,-29,-2,30
-16,-14,37,21,-53,-56,-23,36,-17,-18,42,54,57,2,-31,1,9,10,-50,32,-4,-25,7,44,22,-39,-45,47,30,-29,15,-20,-38,49,-43,-8,-3,33,26,48,55,-11,35,-24,27,58,-28,-40,-34,19,52,-51,5,-12,-41,6,-13,-46,-60,59
-16,51,44,30,58,-54,-24,-55,-19,-15,-38,33,-59,52,10,1,41,48,9,-37,50,-36,-26,7,35,23,-42,-57,31,-4,-29,-43,-12,56,-25,22,20,11,46,-49,-17,27,32,-3,47,-39,-45,-18,40,-21,-2,-14,-60,6,8,-34,28,-5,13,53
49,-22,36,37,48,60,26,32,-53,50,-16,35,-51,-20,-56,11,-19,44,17,14,52,2,-40,-27,57,-7,24,-34,55,38,58,-8,41,28,-12,-3,-4,-30,-43,23,-33,47,39,-18,46,-45,-42,-5,-1,-10,13,-21,9,59,-29,15,-25,-31,-54,-6
-25,34,-22,-38,-9,-33,31,43,5,59,39,-35,23,16,17,-14,-15,-47,-57,44,-54,3,-13,27,1,-32,-24,53,42,50,-7,26,6,-2,12,-52,-48,4,-11,58,46,-29,-8,-20,-60,-41,18,37,-55,-30,56,36,-28,21,49,-51,19,-40,-10,45
13,51,9,-37,-18,-33,52,14,-3,31,38,-26,-1,-8,-53,17,-16,5,-41,-59,42,24,57,-22,55,12,-60,35,56,54,-10,-40,6,58,-28,-46,4,-11,-49,32,19,-21,-47,50,48,36,43,-45,39,-44,-2,-7,15,-30,-25,-29,-23,-34,20,27
49,32,-19,11,60,57,36,-12,-52,18,-4,8,-50,-35,16,-15,-55,-10,3,48,31,-59,38,-34,-26,25,-47,-53,-45,-43,-21,-2,-42,24,14,-7,51,-23,54,-46,58,33,30,-56,29,40,27,-20,-1,13,-37,9,28,-39,17,44,-6,-41,22,-5
42,9,-14,-15,-53,11,-39,57,-2,-29,-6,-44,-17,3,4,56,13,-37,23,49,52,-34,-19,-26,-60,24,40,-43,10,48,-45,-33,32,22,50,51,18,59,7,-27,-47,-1,28,12,31,-54,41,-30,-20,-35,-36,-21,5,46,-58,-16,-8,55,-38,25
-59,-17,-21,-33,35,16,-27,26,58,50,-22,42,28,53,45,-6,2,-24,55,57,3,11,46,18,-49,-8,7,-13,52,54,37,-60,4,41,-5,40,-31,-56,48,-36,-34,-12,44,-43,-15,-23,51,-39,25,-10,-47,-29,-14,-30,-19,38,-20,-9,1,32
9,34,-42,41,-52,-37,-39,-47,-1,-43,-57,60,-29,35,21,58,56,-38,-32,49,-15,-44,59,31,-28,40,51,25,13,-45,-24,19,46,-2,-14,50,6,18,7,-26,-4,3,10,22,30,-33,8,54,-20,-36,-27,5,55,-48,-53,-17,11,-16,-23,-12
37,12,-36,18,-11,-30,21,-27,-52,59,5,-2,32,-39,-23,-49,-47,-4,-34,-35,-7,-54,15,25,-24,28,8,-26,40,6,41,-13,-56,19,20,3,-1,50,14,-29,-31,60,53,-48,-55,-57,17,44,16,-38,-58,9,-43,22,45,33,46,51,-10,-42
-28,37,-29,33,-39,16,-32,42,-40,20,17,-49,-48,-60,27,-6,-11,35,-23,-10,-22,21,19,46,38,-31,-15,1,3,-51,26,7,-4,-56,-18,-50,-2,-25,5,9,57,-8,-44,43,47,-24,-45,13,12,36,30,55,54,-53,-52,34,-41,59,-58,14
-3,57,1,-14,27,31,18,-56,-20,-17,-24,21,-46,4,53,35,10,-7,-30,9,-12,43,-44,11,58,-37,-5,39,55,19,-6,33,-32,-52,-16,50,26,45,-28,47,51,48,-22,23,-38,13,-40,-42,59,-36,-41,34,-15,-60,-29,8,-2,-25,-49,54
-25,-19,-41,-52,-7,58,5,-26,-28,23,45,56,-57,48,-53,29,60,-40,2,35,-46,-54,-10,31,1,8,-44,9,-16,-37,-24,59,49,50,-20,51,30,43,-42,18,3,39,-38,27,-11,21,-55,-14,-33,-34,-36,4,15,22,47,-12,13,-6,-32,-17
-48,36,-26,42,50,19,15,9,-8,-29,22,17,-52,-34,-7,-44,-12,58,-6,41,31,-11,-37,-32,43,3,-55,-45,10,-53,-21,24,56,14,39,-2,23,57,-35,-54,-20,-4,-25,16,28,-51,-59,1,60,-5,46,13,30,40,27,-33,-38,-18,47,-49
57,56,33,59,-49,-13,41,-44,23,-24,29,-43,6,45,-22,-25,50,39,60,-34,38,15,-9,10,16,54,-30,-40,-11,27,52,-51,-3,20,53,55,48,-21,-18,28,-7,-46,12,8,-14,42,58,-37,5,-17,32,-31,-35,-26,-36,-2,-1,-47,-4,-19
48,53,-45,-43,-20,39,35,11,-59,-29,-8,-44,16,55,-52,-13,-26,-38,42,5,-36,33,51,31,-58,17,-40,-56,10,-50,-24,-41,-22,-47,-7,21,-46,18,-6,27,32,-19,4,12,3,37,34,-1,54,30,-23,15,-2,-49,-14,28,60,25,9,-57
-30,-38,-34,-51,-49,33,36,-27,17,-19,-18,28,16,58,-41,-13,-9,11,10,35,-39,50,-42,48,-57,40,8,-12,47,1,-45,-56,-6,3,-20,-7,43,2,21,-26,15,23,-37,-46,31,44,-29,-24,5,-22,4,54,59,-52,-60,32,25,-14,-53,55
-53,-47,-49,-16,-54,-12,-57,10,-14,-8,18,6,-20,9,-43,4,-55,-11,44,13,-30,-45,-42,-56,33,40,-48,36,59,21,34,60,-25,-31,-38,-28,50,35,-46,-26,-58,23,15,-19,22,39,2,27,3,-37,-52,51,1,5,17,24,7,41,-29,-32
51,-41,36,40,15,48,-10,44,20,7,-29,-47,-14,13,-5,38,-46,-21,39,-9,18,-55,-35,-59,37,31,-45,-58,11,32,-26,-30,49,56,23,-3,-25,-16,-19,-4,2,-57,-53,-8,27,17,12,-6,-33,54,-1,-60,43,-50,22,-34,42,28,24,52
49,26,-13,-25,10,-46,51,-12,15,-5,21,8,3,55,-9,-31,-37,-32,-34,-24,-11,-39,-47,20,4,-2,40,48,53,43,16,18,38,19,45,50,17,-33,22,-27,52,-56,-30,54,-35,6,23,-28,-1,-36,-7,-41,-29,-44,-14,42,-58,57,60,-59
45,24,-7,-52,-48,-34,3,21,57,42,53,-26,59,-16,-17,14,15,25,51,-27,-8,-47,46,-2,-18,12,20,43,33,-58,38,-55,-29,6,39,-60,-44,-31,-35,-56,-50,-10,-28,37,-1,-23,22,5,54,41,-19,4,-11,-49,32,40,-9,30,-13,36
48,17,-50,35,-47,56,10,-16,44,-7,29,59,-22,38,40,8,-2,37,41,-36,-43,13,28,-55,54,57,53,-23,-11,31,-30,42,-52,-45,-4,20,-18,-14,-51,-15,-19,-32,21,-9,34,-58,5,-1,-60,3,39,33,-27,-25,24,-6,-26,46,-12,49
-53,-28,-24,-23,6,-5,-47,-44,37,-21,-35,-46,42,-16,43,14,-45,36,20,-19,10,-25,4,3,22,-57,38,2,48,59,33,-49,-31,40,11,-18,-9,-27,-60,-34,52,-13,-15,8,17,12,7,-29,32,54,-55,-41,1,-50,51,-58,26,56,-30,39
5,-53,15,6,-1,-4,-33,50,-48,29,31,30,-60,-46,-3,-36,-44,51,-58,-43,-34,56,-59,49,37,-45,-54,-35,-10,-12,-11,-38,7,21,28,16,-25,32,-55,-41,40,-57,20,17,26,14,52,9,-24,-8,-18,-47,2,27,39,-22,42,19,23,13
-57,-49,-19,53,17,39,-46,22,-24,25,-60,36,31,-35,50,-23,-5,-20,3,18,-56,-8,16,9,-10,-47,-59,-45,-51,37,-13,54,-44,48,14,-12,-30,58,-6,42,52,-40,-55,33,28,7,26,-34,2,-15,29,-41,-4,-32,43,21,1,-38,27,11
35,31,59,-25,-32,-51,-14,-9,8,39,29,-17,-57,7,48,-50,12,21,58,54,-18,36,-44,-55,4,46,-49,45,-11,47,-2,5,37,-56,-1,-22,-33,-52,-10,60,42,-41,-53,23,-28,-26,-30,-15,27,16,6,38,43,-20,24,34,13,-19,-3,-40
-15,-4,16,2,-18,48,-33,44,-20,-25,-58,-55,-53,28,1,-3,32,5,-26,9,59,49,52,-31,10,19,-40,-14,-50,51,24,-17,7,43,-42,-54,56,-46,45,27,57,35,-34,-8,-39,38,-60,-6,-22,29,-30,-23,13,36,12,-37,-41,11,-21,47
11,-5,-17,-57,2,40,24,-28,-16,-22,-1,-32,-15,39,13,9,3,-59,-25,33,-43,10,-35,-7,19,30,-34,8,51,-26,-55,12,-20,27,23,41,53,-44,-14,-6,-36,48,21,38,52,-47,46,-42,56,-58,-29,-45,-37,60,31,-49,4,50,18,-54
56,-52,13,-44,46,-50,-27,18,38,-53,33,17,-3,22,57,59,-12,-8,-41,58,-49,-14,55,40,-42,-51,7,-54,30,-29,48,37,-11,35,-34,-43,-32,-9,-47,-24,19,25,36,4,60,-5,39,-31,21,6,26,2,10,28,-23,-1,-15,-20,-16,-45
49,58,55,9,-57,31,-8,7,-4,-22,-32,-46,47,35,39,27,48,-54,-42,37,34,10,-41,-29,-56,-43,-16,-59,24,36,-6,11,45,-21,-14,-30,-20,40,-15,-38,23,19,26,-60,-33,12,-13,-17,-1,51,-50,-53,52,18,-3,25,5,-2,28,44
-55,36,-26,-43,-31,-23,-59,-34,-51,47,-56,-21,-29,-27,-24,-49,-45,-54,40,-30,12,-50,6,15,-58,3,14,35,13,20,5,38,-39,8,-28,-2,46,-32,33,-19,-52,-60,4,48,17,-37,-10,-44,16,22,9,41,57,18,1,11,-53,25,7,42
-55,23,25,33,-34,48,-46,43,-12,18,-42,9,57,-41,-29,30,26,-10,59,22,53,-20,-2,-47,-3,-17,-35,-39,15,-16,49,-45,-4,5,27,-52,51,44,28,58,14,11,-8,-38,32,7,24,-6,-31,-54,-37,36,-21,50,1,-60,-13,-40,-19,56
-38,-4,-39,2,54,-22,-25,16,-13,-29,-37,-57,9,-30,-60,-8,48,-50,36,-49,-44,6,32,45,7,-27,26,-35,10,14,43,-23,58,55,28,-19,11,1,3,41,-40,59,-31,21,-24,-56,51,-17,20,18,-47,53,-52,-5,-34,46,12,-33,-42,15
30,21,11,19,33,-20,16,-18,-23,58,-3,17,52,-53,-38,-7,-12,8,-4,6,-2,40,9,-31,-43,55,-54,46,47,-1,24,-41,-5,-59,39,51,56,15,-35,-22,32,50,25,-60,-49,-28,-29,57,45,-42,-36,-13,14,27,-26,-37,-48,-10,34,44
-42,-33,-10,-60,-45,8,20,-6,30,3,-48,43,35,40,19,51,34,-41,-15,-7,32,-46,49,31,47,27,-26,-50,-53,-9,-24,-21,2,-17,-13,-44,52,58,54,-14,18,1,-12,36,5,22,-25,11,-23,28,-16,-37,29,-39,-59,57,-56,-38,55,4
26,48,-40,-49,39,31,27,25,-17,-33,45,19,-56,-59,30,-42,9,-58,-12,50,-47,57,-28,-35,-8,-1,-7,23,54,-15,-6,52,10,46,24,-41,51,-53,-5,3,36,16,-55,60,-11,-34,21,-2,4,-20,-37,-32,38,-29,43,13,-22,18,14,-44
-53,58,-12,-30,19,9,-37,46,-6,27,-52,3,-20,54,-49,-18,-36,16,-5,13,-40,28,24,-23,-56,50,-10,-22,35,4,47,-57,44,41,-29,17,7,55,-45,21,-34,-51,-59,-33,39,-8,-31,-60,15,-26,42,11,1,-14,-38,25,32,-2,43,48
-2,1,-12,50,14,60,22,43,-17,39,55,3,-30,-5,-40,31,9,24,-53,59,33,-7,51,-18,27,54,-25,-57,-32,13,-16,29,-21,37,45,-48,-34,-52,-10,15,-58,46,-8,-56,-35,-42,-49,36,47,-4,-23,38,19,-26,-11,44,28,41,-20,-6
51,25,-36,-35,-18,-28,16,-57,14,24,45,41,59,-9,-46,-7,54,5,48,39,-32,42,30,-10,-2,29,-60,6,-26,-23,-55,21,-43,53,4,3,-49,44,-20,56,-12,-22,33,-38,-11,15,52,-19,37,58,-1,-47,-34,-17,31,-40,8,-50,-13,27
-37,-53,-8,-7,-45,-14,4,3,31,-43,20,-40,-49,6,-34,-36,25,-58,-50,-11,-35,-26,-59,-56,-17,22,41,-29,28,46,-9,-54,-51,15,21,16,1,-60,-47,12,-27,48,10,55,5,-30,39,-42,13,19,33,-57,2,32,-44,24,52,18,23,38
-8,42,-45,-33,-7,-23,5,1,-24,-13,20,-18,10,-44,-40,21,-53,12,-28,-11,-16,36,6,9,-58,50,51,19,59,43,-55,-60,4,-41,52,-22,47,-48,-46,15,34,-2,-30,14,3,39,-37,38,-56,-26,-27,-35,17,57,31,49,-54,25,-29,32
-31,-20,42,-7,30,-54,4,-35,44,27,28,-56,-34,37,-29,43,-53,-51,-25,2,-46,-33,52,48,19,39,-10,-11,15,-5,1,60,22,13,8,-41,-14,-47,-26,-45,36,-3,-16,-9,40,21,38,-24,59,57,18,-23,17,6,58,12,-50,-55,-49,-32
-22,48,-44,58,46,-59,-26,24,28,38,12,-11,16,39,45,-13,50,-54,-37,52,31,1,35,-8,27,7,-25,-9,-47,-57,-21,34,-55,-32,-23,40,19,-10,-14,-36,60,51,-53,3,-15,-5,29,-2,56,-17,-42,-20,43,18,33,-49,30,-4,6,-41
37,-6,-30,41,38,2,23,-24,-17,-31,32,-43,14,-13,16,-15,9,55,46,34,-54,51,-7,8,29,57,-40,50,-25,3,10,-11,49,-20,58,-59,-1,-5,-45,27,-4,60,12,-52,39,-19,-48,47,-33,-28,-22,44,56,21,-18,-53,-26,-35,36,-42
-58,-8,46,39,20,48,32,2,-11,-47,9,-57,22,17,41,-44,-14,21,34,-5,-18,-13,-31,26,-45,-24,33,-35,-53,-59,23,-7,-27,-19,28,60,-49,51,-4,-50,-15,55,-54,16,25,-3,10,-6,37,40,-38,-56,29,43,-42,52,12,1,30,-36
-8,33,51,-55,-21,-17,45,1,42,-54,-37,44,35,-36,-57,52,6,22,38,39,5,-18,-29,31,-27,58,25,-40,23,-34,-24,-49,-2,30,-13,14,11,-19,-20,28,56,-9,48,-12,-7,-60,59,-43,32,-53,-3,-16,50,10,4,-41,15,-26,-47,46
-50,-23,-53,-29,12,-38,37,51,-52,39,13,-5,-11,55,31,-60,-32,-22,49,24,-54,18,2,-20,58,36,35,47,4,44,-15,17,41,-59,-27,-26,-7,6,-10,43,-33,-48,-40,-30,46,-45,-28,42,-19,1,-8,9,3,21,-14,57,-56,-25,34,16
15,26,-42,10,-22,-13,-9,31,7,-4,-60,-58,6,27,-1,-33,47,55,36,50,41,5,-37,29,-40,-2,-14,-52,-24,-34,-8,-38,16,30,59,-19,23,32,48,25,-21,3,49,-53,46,-45,-17,-39,-43,-20,-54,28,44,51,-18,57,-56,12,-35,11
51,57,-43,-50,33,-58,-24,-30,55,-36,-56,45,-31,-53,-22,-34,59,48,46,-49,32,15,28,7,47,-52,-41,-23,35,8,13,-21,-5,16,-29,10,54,-42,40,-39,27,38,3,-60,-12,-19,-25,-18,20,4,-1,26,14,-37,-9,11,-2,6,-17,44
-28,-35,-24,54,48,-42,13,-47,-32,58,-37,-43,-7,-49,-56,33,-22,-52,-40,-29,-23,17,21,3,38,46,-59,1,20,-57,-55,9,-16,-41,2,-50,11,-25,45,19,34,6,12,-51,-39,-26,8,-5,14,36,44,18,60,-4,31,15,30,-10,27,-53
57,-50,54,-38,36,-53,-40,-9,8,-14,35,22,60,10,17,-37,-15,44,-26,29,-49,-12,-27,-41,43,19,23,-42,-20,39,56,-55,-47,59,-11,-5,16,4,-30,7,24,28,-25,-18,52,-48,33,46,21,2,58,-45,6,-3,32,-31,-1,-51,-34,-13
54,-33,42,8,-21,-13,43,-4,60,29,-50,-55,6,58,-44,57,30,-56,25,39,5,-32,-41,-28,-19,48,53,24,-10,-17,-34,22,2,31,-46,-40,52,49,-20,36,23,-3,-7,15,51,35,59,-26,-38,11,-45,-37,-27,-1,12,18,-16,-14,-47,-9
-5,-41,16,60,1,-31,-35,-10,-13,8,-44,21,9,-37,36,-3,18,-17,27,55,-12,23,-22,42,-52,-58,-19,-45,-34,47,6,-51,-50,29,7,-15,14,39,-38,46,2,-24,-56,11,28,-40,-30,49,-48,33,32,25,-57,59,-20,43,53,26,-54,-4
2,-1,-42,-36,-30,-48,18,-11,28,27,8,31,-21,-57,-41,60,-22,-7,50,-47,13,17,-56,-33,-53,52,-10,-9,-59,5,-12,58,24,-44,-38,4,45,35,46,-55,15,3,49,34,-37,-39,20,6,-43,-19,54,-26,25,-51,40,23,14,-32,29,-16
60,21,16,14,-35,38,23,-49,44,-51,-24,-25,42,-4,27,-3,-28,-54,-33,-31,-2,52,-7,11,12,-30,-15,17,-43,26,20,50,19,-58,5,48,56,-6,45,59,-47,-13,29,-9,-39,57,41,-36,8,-32,10,-22,55,18,-53,-37,-46,34,-40,-1
42,46,14,-55,15,10,-57,-30,47,-6,-18,-13,12,-3,-5,31,-35,11,50,40,22,-21,36,-58,26,-25,-56,51,44,8,-16,-34,-54,32,17,-23,-38,37,41,-20,-39,-1,-52,-29,59,-2,-9,60,53,-19,-28,43,-49,33,4,27,7,24,-45,-48
