-17,-13,4,-3,28,-49,-47,19,58,20,-14,-48,2,11,-51,-33,1,-60,-8,-10,37,-42,26,-52,-50,-23,45,-5,-59,-31,30,-39,16,41,-46,40,-21,43,32,-36,-34,22,-38,53,-27,35,7,12,6,25,15,24,-44,-55,54,-57,56,-9,29,18
-33,-38,-55,-46,-7,-25,5,-49,-56,41,-27,-48,50,-35,17,-18,-15,16,-44,29,54,-32,34,60,6,-52,11,59,-20,-47,-39,22,1,-23,14,40,43,2,31,-36,-10,45,-37,19,-42,4,30,12,8,-13,-57,26,58,-21,3,9,51,-53,-28,-24
17,-21,-53,-57,-8,-14,55,5,41,51,38,36,-60,6,30,-39,-1,23,-50,-52,2,-29,-18,40,33,-35,43,-47,22,-15,56,37,-25,-45,26,-12,-32,-11,16,-24,-9,54,-27,-46,34,44,28,-59,-58,19,-10,20,3,-42,-7,-31,4,49,48,13
32,60,-58,18,34,-27,-52,40,-56,33,-36,23,53,-30,46,51,41,-4,-38,26,-48,44,-12,49,29,-20,6,57,-25,14,54,-1,-10,-5,-43,11,45,19,50,-8,-17,-55,35,-22,-37,-15,59,21,-24,-39,-16,7,-13,-31,42,9,-28,3,-47,-2
-16,13,-30,-22,56,-10,-37,-47,-19,6,-58,18,-2,-21,52,1,-26,-12,9,51,14,4,-25,-46,23,17,36,53,32,3,-34,-29,43,31,59,-27,7,-44,49,54,-42,41,-33,38,50,24,8,-60,-39,-45,-20,-15,-28,-40,-57,-5,55,11,-35,48
43,21,13,38,-46,55,35,52,-37,54,-49,-48,-3,-22,-41,-40,-44,28,57,-23,-2,14,20,26,-34,-24,-47,-18,-58,36,-42,-33,32,25,-7,-30,9,-4,-56,16,15,31,-1,17,50,5,27,12,11,-45,59,-8,-60,-10,-6,39,-19,29,-51,53
24,-47,33,48,13,59,-21,-37,-42,-18,-25,-52,-5,50,-36,51,28,10,-60,38,7,34,35,-1,11,-32,-30,-17,40,27,-46,26,-3,-22,-23,15,8,-20,43,-29,-44,9,-39,41,-57,31,2,-4,-58,-14,-16,12,54,-53,-56,55,45,49,-6,19
24,39,-35,-19,-50,-51,60,-27,21,-38,-44,-55,-56,25,-53,-40,31,52,4,-54,-9,-47,-33,-1,-14,-46,8,-43,-37,-34,-17,58,23,30,3,-49,29,10,-2,16,-48,57,28,11,59,26,22,41,36,5,6,-18,15,20,12,13,-42,-32,-45,-7
-18,54,44,-58,32,34,-40,-21,55,19,-53,-29,37,-33,-20,25,-56,1,-10,15,8,-24,-49,22,-16,50,-35,39,12,-45,46,-5,14,-6,27,57,-13,-47,-28,7,-60,-52,59,-3,30,-31,38,51,23,-26,-48,42,11,-2,-9,17,-36,4,-43,41
-40,42,37,-10,-57,-8,38,6,-44,4,-45,58,-28,-34,-23,-53,50,-24,59,48,-27,29,15,18,26,-25,21,13,-22,-39,36,-43,60,14,-47,-31,-3,-7,30,1,56,-2,32,9,11,-52,35,-20,51,-17,-49,46,16,-55,54,-41,5,-12,-19,-33
35,24,-43,-28,49,15,23,-58,53,42,-36,-29,-47,-39,-6,-31,21,-26,-34,55,-17,-38,-7,-2,-27,18,25,4,12,-46,16,-60,-48,19,-1,11,-56,22,14,57,-52,-10,3,59,-54,30,13,33,-5,-51,50,41,-9,45,-20,37,-40,8,-44,32
-58,41,17,-9,-54,-43,51,46,4,59,32,-22,28,15,-14,24,-3,-40,-34,-50,30,12,25,-16,-23,31,49,-13,35,-21,-26,-11,36,19,-29,-33,-42,-55,-57,18,-2,37,6,-56,-48,-8,-60,45,-27,20,-7,-53,52,5,38,44,39,1,-10,47
31,41,-11,13,27,-30,-60,-46,-57,-44,3,32,-4,55,40,-36,50,59,54,-28,33,26,-47,39,37,-22,-5,20,-56,6,-1,-12,-21,-43,49,16,-25,42,-24,-15,-2,-38,34,10,52,8,23,-51,-35,-17,48,-45,-58,-19,-14,29,9,53,-18,7
-43,-16,-35,-20,60,-54,29,9,-8,-17,-14,42,26,11,-52,2,10,-45,49,4,-33,31,-48,-47,-55,-13,-46,44,-7,-37,-22,-40,21,-58,3,-39,30,-41,36,32,38,-12,1,-28,18,27,24,23,-19,-56,-53,15,51,6,25,50,59,34,-57,-5
21,-17,-20,27,23,-41,29,57,-45,24,51,42,35,26,40,25,2,59,60,3,-1,-37,-5,-10,-16,-14,-4,-33,-7,-56,-58,54,28,50,-13,-47,22,-43,-52,-15,6,-12,38,-46,9,44,36,55,-53,-34,-11,39,49,-32,-48,30,-8,31,-18,-19
-38,24,-49,-44,60,-7,6,33,54,57,-47,40,48,58,35,27,39,-50,-26,-45,-23,-31,21,-2,32,19,-16,30,-52,-28,22,-25,-8,-51,-15,41,53,1,-17,-12,-36,-43,42,4,20,-56,11,-13,3,18,34,29,-37,-9,-59,46,-10,-14,55,-5
56,-13,-51,-27,-46,-41,-29,39,-10,9,-52,-22,2,-58,-59,21,-38,24,35,32,-16,12,-57,-18,-48,53,4,-33,7,-50,34,-20,28,-31,-19,54,-60,17,-8,55,6,44,-47,-42,-49,5,43,25,45,30,3,11,-26,-36,-40,-1,23,14,15,37
47,-55,-7,56,22,21,3,-36,-40,48,-39,-27,-37,-58,-41,-24,34,31,-60,23,-6,-5,-20,16,-50,33,12,29,-28,45,-18,-57,-26,-17,-52,8,13,51,11,9,15,46,-44,43,-30,-42,-1,-10,-59,25,-38,35,54,-53,2,-4,32,14,49,19
15,38,-58,-37,57,52,53,43,30,32,51,-21,36,59,-1,-39,-60,44,-42,-35,12,-56,-31,-33,26,-25,55,47,48,-9,23,-10,24,-50,20,-13,4,-2,16,-41,40,19,-8,-18,49,54,-28,-29,-45,34,-11,-6,-7,-46,-27,22,-5,3,-14,17
55,-57,9,-11,14,13,42,-45,-3,30,4,-52,-6,-5,47,21,41,-36,-34,-48,-16,23,-22,27,-56,50,-24,31,59,-10,-28,38,54,19,-44,18,51,-32,60,58,-17,-7,46,35,8,-43,-15,20,-53,-26,-37,12,49,-33,-1,25,2,-40,-29,-39
26,-60,-53,-25,-34,-12,-16,-39,-22,-13,17,6,10,36,44,7,-11,-55,-21,-29,19,9,30,35,4,-1,-38,-33,20,-23,-40,-59,28,5,-24,-14,43,27,8,31,-45,-54,-37,-15,41,58,52,-56,50,-49,-57,-47,3,42,18,48,51,-46,32,2
15,13,27,37,43,42,-49,26,-46,-57,35,60,-2,31,-1,-39,23,45,-22,-50,41,19,-17,-32,-34,-8,-3,59,52,-33,-14,24,30,25,-11,44,-4,-48,16,-47,-21,-6,-5,-36,-18,9,40,38,7,20,-53,-29,51,55,-54,58,10,-56,-28,-12
-24,8,-17,-12,-35,-52,27,-2,-57,58,-16,4,-25,-47,45,11,3,-51,-60,-40,42,-28,-38,1,13,32,-7,22,59,48,53,-26,-55,44,5,43,-50,23,56,20,54,-21,-36,-34,-15,49,14,-30,-46,37,18,6,-31,-41,33,-39,9,-10,-29,19
-47,-34,60,57,29,11,28,56,55,-39,-6,-25,-48,19,35,42,31,27,-14,24,40,-54,38,-20,12,58,-18,-7,-5,32,-17,-30,-45,2,-15,46,-44,-23,10,-21,43,-16,-41,37,33,-36,1,13,51,-52,-49,50,59,22,-9,-8,-4,-26,-53,-3
-9,23,58,57,-42,15,-31,-38,1,30,54,-26,-37,-19,-6,39,-59,-45,14,53,-24,34,-2,21,44,12,-51,-36,52,-10,7,56,-48,-22,47,28,13,8,-16,-55,49,5,50,-25,18,-60,-35,33,-41,-43,27,-29,-20,-11,40,-32,-4,-3,17,46
-53,-44,41,36,-56,-55,35,-22,-14,-19,51,16,-54,9,21,-12,50,-47,10,26,-15,8,25,45,-23,-20,-30,-59,40,27,42,34,38,-32,-7,-4,-49,-33,52,-29,-3,-31,46,2,-24,-43,18,-58,37,-17,-11,-39,1,13,6,5,60,48,28,-57
-47,25,-58,-21,-40,-37,-9,13,7,-26,-45,43,-8,42,53,-27,-22,-41,-38,-30,4,17,44,33,-2,10,16,-59,35,20,34,-49,-24,-31,-29,46,6,19,57,5,18,-14,-12,-23,11,-36,1,52,32,-60,-56,-48,-15,-55,54,51,-39,3,28,50
13,-52,-34,-55,-26,42,-25,-15,59,-37,19,27,-1,-47,8,-29,44,-51,-11,-23,-36,-50,20,35,7,5,-12,53,16,-40,-41,48,-57,3,-24,21,10,-54,45,30,31,-6,56,-17,-39,60,14,-32,-58,22,18,2,-28,38,4,-43,33,49,-9,-46
-35,-38,-43,48,-55,-28,-10,-27,-41,7,12,-11,-40,51,60,22,-39,30,-33,53,37,-16,34,-29,-49,56,8,6,24,-18,54,57,19,-23,1,45,-21,2,17,13,9,52,3,50,-36,-59,-58,-4,25,-44,-14,-42,-20,-31,5,-26,-32,47,46,-15
-29,23,-13,7,10,-18,-4,-28,-20,-5,53,43,3,-42,-44,45,31,6,38,9,55,-51,-2,-34,58,-41,-37,8,1,-39,-17,56,-40,24,50,47,27,-19,30,33,26,14,-12,15,-16,-49,-36,60,46,-35,22,-54,-11,52,-21,-32,59,-25,-57,-48
-59,-49,41,37,31,26,-20,-12,-51,-57,-33,8,48,42,-36,18,55,-16,54,7,-52,29,-30,-28,45,-6,-43,24,-22,23,-5,-60,11,50,47,15,-4,-53,56,-46,-3,-14,27,-58,-25,40,-35,-13,2,-34,9,21,38,-19,-17,-39,10,44,1,32
-52,-41,5,-55,-3,26,-28,-39,-35,11,-10,-25,-27,-29,33,20,57,36,47,-16,-22,21,-32,-51,12,-6,13,7,14,53,48,23,-15,-45,9,-18,54,44,8,42,2,-40,-59,-38,34,-58,-19,-31,-50,49,24,1,-30,-37,4,-60,-17,46,43,56
-20,3,-2,34,-56,44,-57,53,-55,46,-47,18,-52,45,32,38,-43,-12,-41,1,-39,-42,-33,50,-54,-35,40,60,-30,29,51,-15,23,-4,26,-49,58,-16,21,-27,19,22,17,-6,-14,-10,11,59,36,-24,-31,13,-8,25,9,5,7,-37,-48,-28
-5,-23,14,13,1,-27,44,-51,47,35,-21,22,-4,-3,-19,-50,-32,-54,15,-59,11,-12,2,-48,40,39,6,41,-42,-53,-38,17,-52,-60,-10,-45,-43,31,-26,-25,-28,29,37,-7,36,57,-9,24,56,16,8,33,30,18,58,-49,-46,-55,20,34
46,54,13,48,45,52,-32,-40,37,-57,-30,-23,-3,38,27,-50,-28,-42,-21,-41,19,24,12,-22,-56,60,-15,17,55,11,36,7,58,-43,47,-31,-9,-14,59,8,20,18,34,-51,-5,-1,-35,-4,53,16,44,-6,-49,-2,-29,25,10,-33,-39,-26
-51,15,-5,-18,3,-16,-23,-28,14,60,59,-39,-22,-9,-2,6,-54,4,-32,-44,46,13,7,-27,37,-58,24,8,-30,29,-52,19,-40,-42,-45,-47,-25,53,12,33,-57,34,49,20,35,-21,36,-50,-43,48,1,31,-38,17,56,-55,41,26,-11,-10
39,56,14,-21,30,34,24,-36,-53,55,54,-51,-52,-3,47,-38,-32,59,-23,57,4,-43,19,-7,42,27,-26,-46,44,-5,45,17,-35,-6,33,8,50,16,-1,-41,40,-25,22,-29,-31,28,-15,-49,48,-37,12,13,9,-11,-10,-2,-20,-60,-18,58
20,33,-56,35,-52,8,-23,-6,50,-39,-53,46,-55,42,-58,-48,31,-60,-41,-1,24,-51,7,-21,-43,-38,-36,29,-28,-47,-17,40,-2,-37,-4,27,34,26,10,-32,19,-14,25,59,-49,-12,30,16,45,-9,22,5,11,57,13,3,-54,15,-44,18
-58,42,-45,-19,-33,-31,12,39,-60,28,-16,-7,37,-36,51,11,-55,54,4,56,-48,-35,-34,-52,29,-38,-44,-10,-25,40,6,53,5,23,22,14,-13,26,-8,-30,43,-2,-41,27,3,-49,-57,21,46,59,-15,24,-32,-18,17,-20,47,1,-50,9
-2,1,9,-50,7,-45,-5,23,-3,49,34,14,40,-12,-60,58,-19,-52,17,47,35,54,-8,43,36,-31,33,53,38,46,26,41,-27,-11,-21,-25,42,-29,48,-13,-32,-37,-24,57,6,-30,-20,-39,-10,4,-56,18,-28,-22,-59,51,-44,-16,55,15
-53,-13,11,-47,12,59,-25,-57,-48,34,-3,-5,2,45,56,-39,60,46,-24,22,35,-20,-30,19,7,43,36,40,58,23,38,51,37,-10,-21,-27,-33,-31,16,-28,-50,55,-26,-52,-14,-18,4,9,-54,41,-32,44,1,49,-42,-15,8,-29,-6,-17
-10,-26,-31,44,-58,-30,-54,34,-11,1,9,-50,29,-37,-33,-59,-53,-19,18,27,-36,-47,-48,-56,38,2,-20,49,-13,6,3,-57,15,-8,45,21,14,-25,41,-43,-39,52,40,-4,-35,-60,22,23,-28,12,-55,-42,17,7,51,24,32,5,16,46
-39,-3,2,54,53,-8,37,6,-17,-12,33,10,36,-29,-58,-51,9,-40,35,-47,46,44,42,-28,59,56,50,24,14,-48,-57,-43,-11,49,-19,-13,-7,41,1,18,-38,-23,32,-22,60,-21,20,30,-34,-27,16,55,-5,-4,-52,-26,31,15,-25,-45
52,21,8,15,-36,46,12,-3,23,25,34,-7,-50,31,-4,39,48,58,-20,19,-2,-60,-9,-26,-10,24,38,-56,42,53,-14,44,-45,-11,-54,5,57,-27,-16,-55,-43,-29,41,-32,33,-6,49,-17,-47,13,59,-1,-30,35,40,28,-37,-18,-51,22
-25,-26,-13,-55,49,59,9,-24,-7,-18,-28,21,3,-47,-42,29,38,10,27,-45,-12,-56,51,8,1,2,-19,11,-16,58,-46,-54,-52,-44,-60,43,40,-17,41,-37,-39,15,-36,34,20,31,14,-57,-5,-53,-23,33,50,32,4,22,48,-30,-6,35
12,-34,44,-20,11,-36,-50,-33,-45,-40,-5,-1,-14,13,-30,-37,43,-19,18,4,-60,38,-28,-31,35,46,48,23,47,15,24,-39,8,2,-25,6,16,-22,32,10,-56,-51,-17,-3,9,-26,-29,-27,55,7,42,-54,57,52,-49,41,-53,59,-58,21
-11,-10,-34,31,41,19,-42,-17,53,2,1,21,-48,-24,-30,-52,8,60,-6,-44,-12,49,-39,14,51,-37,46,-59,-57,15,-4,-56,-43,3,54,40,26,-47,23,-36,-5,7,33,20,-55,-27,38,13,-22,-58,-25,16,-9,-35,45,32,29,50,28,-18
-41,20,30,51,26,37,38,-60,46,-49,-56,-52,22,-42,-57,36,-18,17,-24,-2,-23,-13,21,19,31,-5,45,-48,50,-3,-25,-53,-55,54,-59,-16,-6,-7,47,58,1,14,-44,43,-27,-9,-39,28,10,-29,-4,12,32,-34,33,11,15,-40,35,8
-55,39,24,11,-10,15,-51,-32,-59,5,-4,-52,-44,-38,-6,36,57,-21,50,-25,18,27,60,-3,20,-49,-22,-37,-47,-40,58,8,53,-56,48,-16,28,14,-2,30,45,46,-54,13,-41,-42,29,-35,26,-19,7,12,-33,43,1,34,-17,-31,9,-23
