9,16,11,22,24,13,17,14,-1,19,-3,-21,-6,-8,18,-2,-7,-15,-10,-23,12,-4,20,-5
19,12,-7,-24,-11,-22,3,-13,17,16,5,-2,8,-18,23,-10,-9,14,-1,21,-20,6,-15,4
-8,-11,24,21,16,-18,22,1,-23,-12,2,10,-19,15,-14,-5,-20,6,13,17,-4,-7,9,-3
-21,18,20,19,-15,14,-16,-23,12,-13,24,-9,10,-6,5,7,22,-2,-4,-3,1,-17,8,-11
10,4,-18,-2,-23,16,20,15,-17,-1,-12,11,24,-19,-8,-6,9,3,14,-7,-22,21,5,-13
8,-20,14,-5,4,21,23,-1,15,18,-24,-22,19,-3,-9,17,-16,-10,-13,2,-6,12,-7,11
21,22,-10,11,-19,-14,8,-7,20,3,-4,18,-16,6,-24,13,-23,-12,5,-9,-1,-2,17,15
-22,-15,-11,10,-20,-8,-19,6,-14,-4,3,16,-24,9,2,-12,-18,17,7,5,23,1,-21,13
12,14,-8,-22,7,15,-5,3,-10,9,21,-1,18,-2,-6,24,20,-13,-23,-17,-11,4,19,-16
-5,20,6,-13,-1,-3,21,-9,8,24,-16,-19,4,17,-23,11,-14,22,-12,-2,-7,-18,15,-10
18,-17,-19,16,-6,5,24,-12,-20,-23,13,8,-11,-22,-21,-4,2,-1,3,9,15,14,10,-7
6,13,22,-8,9,-1,-10,4,-5,7,-15,-18,-2,23,11,-24,21,12,20,-19,-17,-3,-14,16
-13,6,10,15,21,-2,-20,17,14,-3,18,-16,1,-9,-4,12,-8,-11,-24,7,-5,-23,22,19
-12,3,-2,-10,13,22,-24,18,-15,4,23,1,-5,16,9,-14,-19,-8,17,-21,20,-6,-11,7
-10,-23,15,14,-7,8,5,-6,21,1,16,-17,-22,-4,-3,-11,12,19,-18,24,-9,13,2,-20
24,5,9,-19,-2,-13,14,-20,-3,11,-10,-23,6,-7,-17,18,15,-16,4,8,22,-21,12,-1
-4,-19,-15,1,-14,-23,-21,16,-22,-18,17,24,20,5,3,-8,-11,10,2,-13,7,9,6,-12
2,-1,18,12,15,-19,-17,11,10,-9,-8,-4,-14,13,-5,-21,7,-3,6,22,16,-20,-24,23
20,21,23,-18,11,9,-13,24,-6,22,-5,15,7,-16,-12,14,19,4,-17,-1,-2,-10,-3,-8
-11,-7,8,5,-4,-24,2,-3,-18,17,1,13,-12,21,20,-23,-10,9,-22,-15,-14,19,16,6
13,-9,-4,3,-12,17,10,-15,2,-7,-14,5,-1,11,8,21,-6,-20,23,18,-16,24,-19,-22
-3,-13,1,-17,19,-21,-22,23,-16,20,12,-11,2,-15,14,9,4,24,-5,-10,6,7,-8,-18
22,15,12,-7,-8,18,4,5,-11,13,9,-3,-10,-24,-2,-17,16,-6,-20,19,-23,-1,21,14
-5,-16,-21,8,1,24,18,-4,23,14,-19,-15,17,-10,12,2,-13,-7,11,22,3,-20,-9,-6
-23,7,-12,24,-18,10,-2,-22,-21,-6,-20,3,16,19,17,-13,-15,5,-14,11,9,8,1,-4
7,-10,-24,-21,6,-5,-1,20,13,2,-22,14,-9,-12,16,-15,23,-19,18,-8,4,11,-17,3
-19,-8,5,6,-3,-4,9,2,-7,-17,15,-20,21,18,-11,23,10,-14,1,12,-13,-24,-16,22
4,-24,-16,-1,20,23,-11,-17,19,12,7,-10,15,22,-13,3,8,21,-9,-5,-18,-14,-6,2
17,11,-20,9,-22,-16,-12,-14,-4,-15,-2,7,-18,8,10,6,-1,13,-21,3,19,5,24,-23
-15,-4,16,2,12,-17,-23,13,18,-24,-21,-5,-8,-20,1,-3,6,-9,22,14,11,-19,7,10
-14,10,-6,-23,-9,3,11,19,5,-2,-7,17,15,1,-13,20,-12,-22,-8,-16,24,18,4,-21
-9,23,17,19,-10,-20,13,-11,1,5,8,21,-7,24,22,-18,-3,16,-4,6,-12,-15,-2,-14
11,-6,-22,23,-21,2,12,-24,-13,-14,-1,-7,9,10,-20,19,18,-17,-16,15,5,3,-4,8
15,-5,7,-9,2,-11,-3,-18,4,23,6,20,14,-13,-1,-22,-24,8,21,-12,-19,16,-10,17
-17,-21,19,-16,-24,7,-6,12,22,-20,-18,-8,-15,-23,13,4,1,11,-3,10,2,-9,14,5
16,24,-17,7,-13,-12,-4,21,-19,-11,10,6,5,20,-22,-1,3,-23,9,-14,-8,15,18,-2
-7,8,13,-15,23,19,1,-2,16,21,14,22,-3,-11,4,-9,24,20,-6,-18,-10,-12,-5,-17
3,17,-1,-14,10,12,16,22,24,-5,-13,-6,11,4,19,-7,-2,-21,-15,23,18,-8,-20,-9
-16,-22,21,17,18,-15,-8,7,11,-19,-9,-14,-23,12,6,1,-4,-5,10,-24,-3,2,13,20
-20,-18,-13,-6,-16,4,15,-10,-24,8,-17,-19,3,-21,-7,5,11,2,12,1,14,23,-22,9
-18,19,-14,-12,17,-7,6,9,-8,15,22,4,23,3,-10,-20,-5,1,-2,16,-24,-11,-13,21
23,-12,-5,18,3,-9,-14,-21,6,-22,20,2,-17,7,-16,15,13,-4,24,-11,8,10,-1,-19
14,9,4,-3,-17,20,19,10,-2,-8,-23,-24,-21,-1,-18,22,5,15,-7,-6,13,-16,11,12
-6,-14,-23,-11,8,1,-18,-5,-12,-21,4,9,-20,2,24,-19,-22,7,16,13,10,17,3,-15
-24,-3,2,-20,22,-10,-9,-16,7,6,19,-13,12,-17,21,8,14,23,-11,4,-15,-5,-18,1
-2,1,-9,13,14,11,-15,-19,3,-16,-6,23,-4,-5,7,10,-21,-24,8,-22,17,20,-12,18
