-32,18,-10,20,-34,15,36,16,29,3,21,-31,17,-35,-6,-8,-13,-2,30,-4,-11,26,-25,33,23,-22,-28,27,-9,-19,12,1,-24,5,14,-7
17,19,10,14,-18,-26,12,25,28,-3,35,-7,31,-4,21,-34,-1,5,-2,-29,-15,24,-30,-22,-8,6,-36,-9,20,23,-13,33,-32,16,-11,27
8,24,-12,28,-6,5,19,-1,26,-14,22,3,17,10,-31,18,-13,-16,-7,36,-34,-11,29,-2,27,-9,-25,-4,-23,33,15,35,-30,21,-32,-20
-28,-10,18,13,-27,35,-33,15,-23,2,-32,-25,-4,20,-8,-30,29,-3,-22,-14,26,19,9,-36,12,-21,5,1,-17,16,34,11,7,-31,-6,24
-11,-4,30,2,-19,24,15,-10,-32,8,1,-22,14,-13,-7,35,34,23,5,-36,-28,12,-18,-6,33,27,-26,21,31,-3,-29,9,-25,-17,-16,20
-14,-18,33,28,-11,34,-20,-13,-16,27,5,-19,8,1,30,9,23,2,12,7,29,-31,-17,-26,32,24,-10,-4,-21,-15,22,-25,-3,-6,-36,35
10,-4,14,2,13,-27,21,-16,31,-1,26,-30,-5,-3,36,8,18,-17,34,-22,-7,20,-29,-28,32,-11,6,24,23,12,-9,-25,-35,-19,33,-15
13,12,-25,21,-18,-22,-26,-27,36,32,-23,-2,-1,-15,14,-35,20,5,-34,-17,-4,6,11,31,3,7,8,-30,-33,28,-24,-10,29,19,16,-9
23,30,-24,-28,21,35,9,-33,-7,18,17,-36,-20,15,-14,-26,-11,-10,32,13,-5,31,-1,3,-27,16,25,4,34,-2,-22,-19,8,-29,-6,12
-25,-33,-32,-13,-31,-22,-14,-12,19,30,-20,8,4,7,-24,29,-21,34,-9,11,17,6,26,15,1,-23,28,-27,-16,-10,5,3,2,-18,-36,35
20,-9,12,29,-13,10,-15,-30,2,-6,31,-3,5,21,7,19,22,27,-16,-1,-14,-17,-34,33,28,36,-18,-25,-4,8,-11,-35,-24,23,32,-26
-25,-20,-23,-18,28,-31,-14,-22,32,13,-27,29,-10,7,35,19,-30,4,-16,2,33,8,3,36,1,34,11,-5,-12,17,6,-9,-21,-26,-15,-24
-11,17,-6,26,35,3,-14,-20,13,-21,1,-34,-9,7,22,18,-2,-16,23,8,10,-15,-19,-31,-29,-4,-30,-36,25,27,24,-33,32,12,-5,28
34,30,36,-26,33,13,-9,-14,7,28,-22,-23,-6,8,-24,17,-16,32,31,29,27,11,12,15,35,4,-21,-10,-20,-2,-19,-18,-5,-1,-25,-3
-25,-22,-24,-28,-20,-12,-35,-15,21,-33,18,6,34,30,8,-36,26,-11,32,5,-9,2,-31,3,1,-17,29,4,-27,-14,23,-19,10,-13,7,16
-33,30,5,12,-3,25,22,31,11,-20,-9,-4,-28,15,-14,21,-29,26,-27,10,-16,-7,-34,32,-6,-18,19,13,17,-2,-8,-24,1,23,-36,35
23,12,-7,-14,21,11,3,18,17,-22,-6,-2,19,4,-30,29,-9,-8,-13,33,-5,10,-1,35,26,-25,-32,-34,-16,15,36,27,-20,28,-24,-31
